absolute_return,asset,assigned_weth_amount,assignment_frequency,assignment_settlement,assignments,candidate_id,cash_settlement_used,cash_usdc,collateral_assigned_usdc,costs,covered_calls_used,deallocation_used,decisions,eligible_decisions,ending_weth,ending_weth_nav_fraction,entry_filter,estimated_costs_usdc,final_nav_reconciliation_error_usdc,final_nav_usdc,initial_usdc,maximum_drawdown,median_iv_minus_realized_volatility,median_trend_return,minimum_net_premium_bps,missing_market_events,missing_market_fraction,open_rate,peak_weth_nav_fraction,positions_opened,positions_settled,premium_modeled_usdc,premium_net_usdc,premium_observed_usdc,pricing_observation_class,skipped_entry_filter,skipped_insufficient_collateral,skipped_minimum_premium,skipped_weth_inventory,strategy,target_delta,utilization,window_days,window_end,window_start
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,17,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.054668089998113456,-0.04478172665113844,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,28,0,17,0,standalone_physical_csp,0.05,0.5,90,2024-11-07T08:00:00+00:00,2024-08-09T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,24,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.013829599695313277,0.11881943451103805,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,21,0,24,0,standalone_physical_csp,0.05,0.5,90,2025-02-05T08:00:00+00:00,2024-11-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,45,2,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,-0.20612831530971276,-0.1927493363670838,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,43,0,2,0,standalone_physical_csp,0.05,0.5,90,2025-05-06T08:00:00+00:00,2025-02-05T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,90,52,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.038405910271750554,0.04171066676626112,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,38,0,52,0,standalone_physical_csp,0.05,0.5,180,2024-02-11T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,90,42,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.044668084687287224,-0.014293284136342399,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,48,0,42,0,standalone_physical_csp,0.05,0.5,180,2024-08-09T08:00:00+00:00,2024-02-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend-base,False,100000.0,0.0,base,False,False,90,41,0.0,0.0,trend,0.0,0.0,100000.0,100000.0,0.0,0.022176989748137976,-0.014509587312983685,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,49,0,41,0,standalone_physical_csp,0.05,0.5,180,2025-02-05T08:00:00+00:00,2024-08-09T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.0031683866586365572,-0.1154971152556018,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,1,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.015254683487890275,-0.020072083687402986,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,14,0,1,0,standalone_physical_csp,0.05,0.5,30,2023-10-14T08:00:00+00:00,2023-09-14T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,10,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.10755153233989434,0.09359336553358233,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,5,0,10,0,standalone_physical_csp,0.05,0.5,30,2023-11-13T08:00:00+00:00,2023-10-14T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,6,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.04829153119321822,0.1967516664903184,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,9,0,6,0,standalone_physical_csp,0.05,0.5,30,2023-12-13T08:00:00+00:00,2023-11-13T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,13,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.12529508990310084,0.09510292679436105,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,2,0,13,0,standalone_physical_csp,0.05,0.5,30,2024-01-12T08:00:00+00:00,2023-12-13T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,-0.09878350530995361,0.042781471880987354,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2024-02-11T08:00:00+00:00,2024-01-12T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,14,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.13775642927729337,0.3720093256977297,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,1,0,14,0,standalone_physical_csp,0.05,0.5,30,2024-03-12T08:00:00+00:00,2024-02-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,3,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.021814137767855013,0.10964537906417315,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,12,0,3,0,standalone_physical_csp,0.05,0.5,30,2024-04-11T08:00:00+00:00,2024-03-12T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,0,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,-0.027165964146201094,-0.11277263220794731,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,15,0,0,0,standalone_physical_csp,0.05,0.5,30,2024-05-11T08:00:00+00:00,2024-04-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.5-p50-trend_vrp-base,False,100000.0,0.0,base,False,False,15,5,0.0,0.0,trend_vrp,0.0,0.0,100000.0,100000.0,0.0,0.03012925084674778,0.19592871287128721,50,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,10,0,5,0,standalone_physical_csp,0.05,0.5,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
